,X,bib_id,Title,Year,Journal,Book.Title,Type,Times.Cited,Address,Category,Country,First Author,Corresponding
1,51219,WOS:000288007100007,Hallmarks of Cancer: The Next Generation,2011,CELL,NA,Review,47279,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
2,3236,WOS:000275746600012,"Immunity, Inflammation, and Cancer",2010,CELL,NA,Review,8161,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
3,6112,WOS:000272169400013,Epithelial-Mesenchymal Transitions in Development and Disease,2009,CELL,NA,Review,7994,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
4,25240,WOS:000266601000006,The basics of epithelial-mesenchymal transition,2009,JOURNAL OF CLINICAL INVESTIGATION,NA,Review,7834,"35 RESEARCH DR, STE 300, ANN ARBOR, MI 48103 USA",Review,USA,,
5,822,WOS:000255903300024,The epithelial-mesenchymal transition generates cells with properties of stem cells,2008,CELL,NA,Article,6847,"600 TECHNOLOGY SQUARE, 5TH FLOOR, CAMBRIDGE, MA 02139 USA",Article,USA,Sendurai Mani,Robert Weinberg
6,30490,WOS:000332000300011,Molecular mechanisms of epithelial-mesenchymal transition,2014,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NA,Review,6126,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
7,8645,WOS:000180446800013,Epithelial-mesenchymal transitions in tumour progression,2002,NATURE REVIEWS CANCER,NA,Review,5513,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,Topic too general,
8,47381,WOS:000291397800042,Role of YAP/TAZ in mechanotransduction,2011,NATURE,NA,Article,3934,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,Topic too general,
9,26824,WOS:000292413000024,Identification of human triple-negative breast cancer subtypes and preclinical models for selection of targeted therapies,2011,JOURNAL OF CLINICAL INVESTIGATION,NA,Article,3822,"2015 MANCHESTER RD, ANN ARBOR, MI 48104 USA",Article,USA,Topic too general,
10,37231,WOS:000288754500044,A Perspective on Cancer Cell Metastasis,2011,SCIENCE,NA,Review,3757,"1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA",Review,USA,,
11,20046,WOS:000380254400009,EMT: 2016,2016,CELL,NA,Review,3329,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
12,19735,WOS:000235590100016,Complex networks orchestrate epithelial-mesenchymal transitions,2006,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NA,Review,3257,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
13,49654,WOS:000395496000019,MicroRNA therapeutics: towards a new era for the management of cancer and other diseases,2017,NATURE REVIEWS DRUG DISCOVERY,NA,Review,3216,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
14,20008,WOS:000222300200010,"Twist, a master regulator of morphogenesis, plays an essential role in tumor metastasis",2004,CELL,NA,Article,3100,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Article,USA,Jing Yang,Robert Weinberg
15,44701,WOS:000284047600009,Triple-Negative Breast Cancer,2010,NEW ENGLAND JOURNAL OF MEDICINE,NA,Review,3059,"WALTHAM WOODS CENTER, 860 WINTER ST,, WALTHAM, MA 02451-1413 USA",Review,USA,,
16,41497,WOS:000085148500011,The transcription factor Snail controls epithelial-mesenchymal transitions by repressing E-cadherin expression,2000,NATURE CELL BIOLOGY,NA,Article,2967,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Article,UNITED KINGDOM,Amparo Cano,M. Angela Nieto
17,18413,WOS:000246799600013,"Snail, ZEB and bHLH factors in tumour progression: an alliance against the epithelial phenotype?",2007,NATURE REVIEWS CANCER,NA,Review,2631,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
18,35925,WOS:000256652200005,Epithelial-mesenchymal transition: At the crossroads of development and tumor metastasis,2008,DEVELOPMENTAL CELL,NA,Review,2464,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",Review,USA,,
19,4068,WOS:000456597900005,New insights into the mechanisms of epithelial-mesenchymal transition and implications for cancer,2019,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NA,Review,2364,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",Review,UNITED KINGDOM,,
20,28143,WOS:000255771200003,Mechanisms of hepatic fibrogenesis,2008,GASTROENTEROLOGY,NA,Review,2176,"1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, PA 19103-2899 USA",Review,USA,,
